Material,Geometry,H_nm,Temperature_K,Energy_level,Frequency_THz,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio,Relative_change_percent
Si,Bulk,,300,E2,2.8,145.46,142.24,0.9778633,-2.213670000000001
Si,Bulk,,300,E3,2.8,145.46,139.19,0.9568954,-4.310460000000004
Si,Bulk,,300,E1,3.2,145.46,142.58,0.9802007,-1.9799299999999964
Si,Bulk,,300,E2,3.2,145.46,139.9,0.9617764,-3.8223600000000024
Si,Bulk,,300,E3,3.2,145.46,135.15,0.9291214,-7.087860000000001
Si,Bulk,,300,E1,3.6,145.46,140.14,0.9634264,-3.6573599999999984
Si,Bulk,,300,E2,3.6,145.46,135.88,0.93414,-6.586000000000003
Si,Bulk,,300,E3,3.6,145.46,129.15,0.887873,-11.212699999999998
Si,Bulk,,300,E1,4.0,145.46,141.1,0.9700261,-2.9973899999999998
Si,Bulk,,300,E2,4.0,145.46,136.85,0.9408085,-5.919149999999995
Si,Bulk,,300,E3,4.0,145.46,129.35,0.8892479,-11.075210000000002
Si,Bulk,,300,E1,4.4,145.46,142.4,0.9789633,-2.103670000000002
Si,Bulk,,300,E2,4.4,145.46,138.74,0.9538017,-4.619830000000002
Si,Bulk,,300,E3,4.4,145.46,130.63,0.8980476,-10.195240000000005
Si,Bulk,,300,E1,4.8,145.46,142.53,0.979857,-2.014300000000002
Si,Bulk,,300,E2,4.8,145.46,138.33,0.9509831,-4.901690000000003
Si,Bulk,,300,E3,4.8,145.46,130.26,0.8955039,-10.449609999999998
Si,Bulk,,300,E1,5.2,145.46,144.35,0.992369,-0.7631000000000054
Si,Bulk,,300,E2,5.2,145.46,140.84,0.9682387,-3.1761299999999992
Si,Bulk,,300,E3,5.2,145.46,132.83,0.913172,-8.682800000000002
Si,Bulk,,300,E1,5.6,145.46,145.12,0.9976626,-0.2337400000000045
Si,Bulk,,300,E2,5.6,145.46,139.89,0.9617077,-3.8292299999999946
Si,Bulk,,300,E3,5.6,145.46,130.67,0.8983226,-10.167740000000002
Si,Bulk,,300,E1,6.0,145.46,144.54,0.9936752,-0.6324800000000019
Si,Bulk,,300,E2,6.0,145.46,140.82,0.9681012,-3.1898800000000005
Si,Bulk,,300,E3,6.0,145.46,132.37,0.9100096,-8.999040000000003
Si,Bulk,,300,E1,6.4,145.46,143.71,0.9879692,-1.2030800000000008
Si,Bulk,,300,E2,6.4,145.46,140.33,0.9647326,-3.526739999999995
