Material,Size_Lx_A,H_nm,Average_MFP_nm,Knudsen_number,Frequency_THz,Debye_frequency_THz,Normalized_frequency,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio_raw,Ratio_plotted,Relative_change_plotted_percent,Was_overridden_in_plot
Ge,100,10.0,37.734179,3.7734178999999997,1.4,7.5,0.18666666666666665,5.915075123229841,6.0845273778639095,1.0286475236753276,1.0286475236753276,2.8647523675327635,False
Ge,100,10.0,37.734179,3.7734178999999997,1.6,7.5,0.21333333333333335,5.915075123229841,6.031516570152985,1.0196855398278633,1.0196855398278633,1.9685539827863252,False
Ge,100,10.0,37.734179,3.7734178999999997,1.8,7.5,0.24000000000000002,5.915075123229841,6.052385241831369,1.0232135882877091,1.0232135882877091,2.321358828770914,False
Ge,100,10.0,37.734179,3.7734178999999997,2.0,7.5,0.26666666666666666,5.915075123229841,6.060749663134123,1.0246276736760596,1.0246276736760596,2.462767367605956,False
Ge,100,10.0,37.734179,3.7734178999999997,2.2,7.5,0.29333333333333333,5.915075123229841,5.994705889952219,1.0134623424155087,1.0134623424155087,1.34623424155087,False
Ge,100,10.0,37.734179,3.7734178999999997,2.4,7.5,0.32,5.915075123229841,6.020679950763039,1.017853505717698,1.017853505717698,1.785350571769806,False
Ge,100,10.0,37.734179,3.7734178999999997,2.6,7.5,0.3466666666666667,5.915075123229841,5.9991072626301065,1.0142064365455397,1.0142064365455397,1.4206436545539658,False
Ge,100,10.0,37.734179,3.7734178999999997,2.8,7.5,0.3733333333333333,5.915075123229841,5.9903580443702795,1.0127272975527877,1.0127272975527877,1.2727297552787675,False
Ge,100,10.0,37.734179,3.7734178999999997,3.0,7.5,0.4,5.915075123229841,5.96962741467167,1.0092225864093576,1.0092225864093576,0.922258640935758,False
Ge,100,10.0,37.734179,3.7734178999999997,3.2,7.5,0.4266666666666667,5.915075123229841,5.92928685028644,1.0024026283285543,1.0024026283285543,0.24026283285543126,False
